Sample,Value,Unit_barplot_annotation,Annotation_1_label,Annotation_1_Symbol,Annotation_2_label,Annotation_2_Symbol
Ubc13fl/fl,1.80601177,<i>Ifnb1</i> (fold change),poly(I:C),NO,VBIT-4,NO
Ubc13fl/fl,0.58616597,,,NO,,NO
Ubc13fl/fl,0.94462367,,,NO,,NO
LysMcre-Ubc13fl/fl,2.89436844,,,NO,,NO
LysMcre-Ubc13fl/fl,2.23369329,,,NO,,NO
LysMcre-Ubc13fl/fl,3.34154889,,,NO,,NO
Ubc13fl/fl,0.74165089,,,NO,,YES
Ubc13fl/fl,1.17838844,,,NO,,YES
Ubc13fl/fl,0.56527629,,,NO,,YES
LysMcre-Ubc13fl/fl,2.28436761,,,NO,,YES
LysMcre-Ubc13fl/fl,1.22612283,,,NO,,YES
LysMcre-Ubc13fl/fl,2.26667798,,,NO,,YES
Ubc13fl/fl,1076.27945,,,YES,,NO
Ubc13fl/fl,1017.50382,,,YES,,NO
Ubc13fl/fl,501.372609,,,YES,,NO
LysMcre-Ubc13fl/fl,6920.61551,,,YES,,NO
LysMcre-Ubc13fl/fl,9450.03308,,,YES,,NO
LysMcre-Ubc13fl/fl,5155.19178,,,YES,,NO
Ubc13fl/fl,185.716907,,,YES,,YES
Ubc13fl/fl,233.995967,,,YES,,YES
Ubc13fl/fl,94.8694734,,,YES,,YES
LysMcre-Ubc13fl/fl,2827.69335,,,YES,,YES
LysMcre-Ubc13fl/fl,3256.60902,,,YES,,YES
LysMcre-Ubc13fl/fl,2539.32777,,,YES,,YES
