Sample,color_hex
,
0h,#000000
1h,#5FC5BF
3h,#ff0000
6h,#878787
9h,#008000
Arih2^fl/fl,#000000
C57BL/6,#d4d4d4ff
C57BL/6 + C.rodentium,#000000ff
CD4-Cre1,#249651
CD4Cre-Mms2^fl/fl,#A81E26
CD4Cre-Ubc13^fl/fl,#F37456
CD4Cre-Uev1a^fl/fl,#F04E37
CD4Cre-Uev1a^fl/fl-Mms^fl/fl,#F6921E
Cd4Cre Gclc fl/fl,#ff0000ff
Cd4Cre-Mcp^fl/fl,#2A4662
Clec9aCre-Arih2^fl/fl,#5757f9
Csf1rCre-Arih2^fl/fl,#ff0000
FoxP3-Cre1,#003840
FoxP3Cd4Cre-Mcp^fl/fl,#905A6A
Gclc fl/fl,#000000ff
Gclc^fl/fl,#878787
KO,#a61f1f
LPS,#905A6A
LPSaIFNAR,#5A0024
Lys6G-CD64,#E49AB1
LysMCre-Gclc^fl/fl,#5A0024
LysMCre-Ubc13^fl/fl,#006600
LysMCre-Ubc13^fl/fl-Uev1a^fl/fl,#2A4662
LysMcre-Ubc13fl/fl,#006600
Man2afl/fl,#3ba99aff
Man2afl/flCD4cre+,#c93963ff
Mcp^fl/fl,#878787
Stimulated,#5A0024
Suv39H2<sup>fl/fl</sup>,#13b55f
Suv39H2<sup>fl/fl</sup>CD4-Cre<sup>+</sup>,#4e52bc
Ubc13^fl/fl,#808080
Ubc13fl/fl,#808080
Uev1a^fl/fl,#F04E37
Unstimulated,#E49AB1
WT,#000000
cDC1,#F6921E
cDC2,#4C9F99
ko,#a61f1f
wt,#000000
NA,NA
NA,NA
NA,NA
