Sample,Value,Unit_barplot_annotation,Annotation_1_label,Annotation_1_Symbol,Annotation_2_label,Annotation_2_Symbol
Ubc13^fl/fl,-0.327740232,\Fold Change ,poly(I:C),NO,Trehalose,YES
LysMCre-Ubc13^fl/fl,-0.123823052,,,NO,,YES
Ubc13^fl/fl,-0.247127271,,,NO,,YES
LysMCre-Ubc13^fl/fl,-0.088163344,,,NO,,YES
Ubc13^fl/fl,-0.356295603,,,NO,,YES
LysMCre-Ubc13^fl/fl,-0.026357624,,,NO,,YES
Ubc13^fl/fl,-0.333113029,,,NO,,YES
LysMCre-Ubc13^fl/fl,-0.212764475,,,NO,,YES
Ubc13^fl/fl,-0.269690113,,,NO,,YES
LysMCre-Ubc13^fl/fl,-0.143868701,,,NO,,YES
Ubc13^fl/fl,-0.277900779,,,NO,,YES
LysMCre-Ubc13^fl/fl,-0.153671867,,,NO,,YES
Ubc13^fl/fl,-0.265256927,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.133591974,,,YES,,YES
Ubc13^fl/fl,-0.272467688,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.112155803,,,YES,,YES
Ubc13^fl/fl,-0.304275395,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.027177299,,,YES,,YES
Ubc13^fl/fl,-0.291180637,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.148895344,,,YES,,YES
Ubc13^fl/fl,-0.246693977,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.060880178,,,YES,,YES
Ubc13^fl/fl,-0.273088403,,,YES,,YES
LysMCre-Ubc13^fl/fl,-0.101510131,,,YES,,YES
